Word, Guesses, Count
aback,"salet, woman, quark, chack, kiack, aback",6
abase,"salet, phase, cease, erase, ukase, abase",6
abate,"salet, tweak, meaty, crate, agate, abate",6
abbey,"salet, annex, amber, abbed, abbey",5
abbot,"salet, tract, audit, amowt, abbot",5
abhor,"salet, woman, audio, arbor, abhor",5
abide,"salet, zebra, above, abune, abide",5
abled,"salet, alley, abler, abled",4
abode,"salet, zebra, above, abode",4
abort,"salet, tract, korat, amort, aport, abort",6
about,"salet, tract, audit, about",4
above,"salet, zebra, above",3
abuse,"salet, phase, arise, abuse",4
abyss,"salet, quasi, abyss",3
acorn,"salet, woman, apron, acorn",4
acrid,"salet, woman, quark, circa, acrid",5
actor,"salet, wrath, actor",3
acute,"salet, tweak, meaty, acute",4
adage,"salet, zebra, ocean, image, apage, adage",6
adapt,"salet, tract, giant, abaft, amaut, adapt",6
adept,"salet, treat, agent, adept",4
admin,"salet, woman, admin",3
admit,"salet, tract, audit, admit",4
adobe,"salet, zebra, above, adobe",4
adopt,"salet, tract, audit, adopt",4
adore,"salet, zebra, aware, afore, adore",5
adorn,"salet, woman, apron, acorn, adorn",5
adult,"salet, plant, adult",3
affix,"salet, woman, quark, pizza, affix",5
afire,"salet, zebra, aware, afore, afire",5
afoot,"salet, tract, audit, amowt, ayont, afoot",6
afoul,"salet, zonal, aboil, afoul",4
after,"salet, after",2
again,"salet, woman, grain, again",4
agape,"salet, zebra, ocean, image, agape",5
agate,"salet, tweak, meaty, crate, agate",5
agent,"salet, treat, agent",3
agile,"salet, whale, apple, angle, agile",5
aging,"salet, woman, ninja, aging",4
aglow,"salet, villa, polar, allow, aglow",5
agony,"salet, woman, piano, krona, agony",5
agora,"salet, woman, audio, arbor, agora",5
agree,"salet, annex, amber, acred, aurei, agree",6
ahead,"salet, zebra, ocean, aheap, ahead",5
aider,"salet, annex, amber, airer, aiver, aider",6
aisle,"salet, lease, aisle",3
alarm,"salet, zonal, plaid, llama, glaum, alarm",6
album,"salet, zonal, plaid, album",4
alert,"salet, leapt, cleat, aleft, alert",5
algae,"salet, whale, alone, alive, aleye, alure, algae",7
alibi,"salet, zonal, plaid, alibi",4
alien,"salet, angel, alien",3
align,"salet, zonal, plain, align",4
alike,"salet, whale, alone, alive, alike",5
alive,"salet, whale, alone, alive",4
allay,"salet, villa, polar, bylaw, allay",5
alley,"salet, alley",2
allot,"salet, allot",2
allow,"salet, villa, polar, allow",4
alloy,"salet, villa, polar, allow, allod, alloy",6
aloft,"salet, plant, float, aloft",4
alone,"salet, whale, alone",3
along,"salet, zonal, along",3
aloof,"salet, zonal, flora, aloof",4
aloud,"salet, zonal, flora, aloud",4
alpha,"salet, zonal, plaid, alpha",4
altar,"salet, ultra, altar",3
alter,"salet, alter",2
amass,"salet, quasi, grass, kvass, amass",5
amaze,"salet, zebra, adoze, agaze, amaze",5
amber,"salet, annex, amber",3
amble,"salet, whale, apple, angle, amble",5
amend,"salet, zebra, ocean, agene, amend",5
amiss,"salet, quasi, amiss",3
amity,"salet, wrath, quota, amity",4
among,"salet, woman, among",3
ample,"salet, whale, apple, ample",4
amply,"salet, zonal, plaid, apply, amply",5
amuse,"salet, phase, arise, abuse, amuse",5
angel,"salet, angel",2
anger,"salet, annex, anger",3
angle,"salet, whale, apple, angle",4
angry,"salet, woman, ninja, prank, angry",5
angst,"salet, toast, adust, agist, angst",5
anime,"salet, zebra, ocean, amine, anime",5
ankle,"salet, whale, apple, angle, ankle",5
annex,"salet, annex",2
annoy,"salet, woman, piano, annoy",4
annul,"salet, zonal, annul",3
anode,"salet, zebra, ocean, anode",4
antic,"salet, wrath, today, attic, antic",5
anvil,"salet, zonal, gnarl, anvil",4
aorta,"salet, wrath, porta, aorta",4
apart,"salet, tract, boart, apart",4
aphid,"salet, woman, quark, pizza, aphid",5
aping,"salet, woman, ninja, aging, acing, ahing, aking, axing, aping",9
apnea,"salet, annex, acned, ainee, awner, apnea",6
apple,"salet, whale, apple",3
apply,"salet, zonal, plaid, apply",4
apron,"salet, woman, apron",3
aptly,"salet, ultra, total, aptly",4
arbor,"salet, woman, audio, arbor",4
ardor,"salet, woman, audio, ardor",4
arena,"salet, zebra, arena",3
argue,"salet, zebra, grave, argue",4
arise,"salet, phase, arise",3
armor,"salet, woman, abmho, armor",4
aroma,"salet, woman, aroma",3
arose,"salet, phase, arise, arose",4
array,"salet, woman, vicar, abray, array",5
arrow,"salet, woman, awork, arrow",4
arson,"salet, quasi, assay, arson",4
artsy,"salet, vista, trash, artsy",4
ascot,"salet, toast, assot, ascot",4
ashen,"salet, askew, ashen",3
aside,"salet, phase, aside",3
askew,"salet, askew",2
assay,"salet, quasi, assay",3
asset,"salet, ashet, asset",3
atoll,"salet, ultra, tidal, atoll",4
atone,"salet, tweak, meaty, extra, atone",5
attic,"salet, wrath, today, attic",4
audio,"salet, woman, audio",3
audit,"salet, tract, audit",3
augur,"salet, woman, quark, curia, augur",5
aunty,"salet, wrath, quota, aunty",4
avail,"salet, zonal, quail, grail, avail",5
avert,"salet, treat, avert",3
avian,"salet, woman, urban, adhan, apian, avian",6
avoid,"salet, woman, audio, aroid, axoid, avoid",6
await,"salet, tract, giant, await",4
awake,"salet, zebra, ocean, image, quake, awake",6
award,"salet, woman, bwazi, award",4
aware,"salet, zebra, aware",3
awash,"salet, quasi, grass, chasm, abash, awash",6
awful,"salet, zonal, quail, ahull, ampul, awful",6
awoke,"salet, zebra, ocean, agoge, amove, apode, awoke",7
axial,"salet, zonal, rural, algal, axial",5
axiom,"salet, woman, aroma, axiom",4
axion,"salet, woman, apron, avion, anion, axion",6
azure,"salet, zebra, azure",3
bacon,"salet, wagon, canon, macon, racon, bacon",6
badge,"salet, range, gauge, badge",4
badly,"salet, naval, labor, badly",4
bagel,"salet, panel, label, bagel",4
baggy,"salet, wagon, magic, baggy",4
baker,"salet, raven, wafer, payer, maker, daker, jaker, oaker, baker",9
baler,"salet, paled, galea, haler, waler, baler",6
balmy,"salet, valid, ralph, walla, kalam, calmy, malmy, balmy",8
banal,"salet, naval, canal, fanal, banal",5
banjo,"salet, wagon, banjo",3
barge,"salet, range, marge, parge, barge",5
baron,"salet, wagon, canon, radon, baron",5
basal,"salet, nasal, vasal, basal",4
basic,"salet, mason, raspy, basic",4
basil,"salet, nasal, basil",3
basin,"salet, mason, basan, basin",4
basis,"salet, mason, raspy, basic, basij, basis",6
baste,"salet, waste, taste, paste, caste, haste, baste",7
batch,"salet, watch, match, patch, catch, natch, gatch, ratch, batch",9
bathe,"salet, earth, bathe",3
baton,"salet, watch, ratio, baton",4
batty,"salet, watch, ratio, fatty, patty, batty",6
bawdy,"salet, wagon, macaw, pawky, bawdy",5
bayou,"salet, wagon, vapor, yahoo, bayou",5
beach,"salet, zebra, began, beach",4
beady,"salet, zebra, began, beach, beaky, beamy, beady",7
beard,"salet, zebra, beard",3
beast,"salet, yeast, beast",3
beech,"salet, wreck, piece, beech",4
beefy,"salet, wreck, queue, needy, peeoy, beefy",6
befit,"salet, theft, refit, befit",4
began,"salet, zebra, began",3
begat,"salet, treat, bepat, begat",4
beget,"salet, unmet, octet, greet, beget",5
begin,"salet, wreck, venue, neigh, begin",5
begun,"salet, wreck, venue, begun",4
being,"salet, wreck, venue, neigh, being",5
belch,"salet, welch, belch",3
belie,"salet, welch, jelly, melon, delve, relie, belie",7
belle,"salet, welch, jelly, rello, belle",5
belly,"salet, welch, jelly, belly",4
below,"salet, welch, below",3
bench,"salet, wreck, voice, dench, bench",5
beret,"salet, unmet, octet, greet, rivet, beret",6
berry,"salet, wreck, rouge, ferry, berry",5
berth,"salet, white, teeth, depth, berth",5
beset,"salet, upset, reset, beset",4
betel,"salet, hotel, intel, betel",4
bevel,"salet, wheel, revel, level, bevel",5
bezel,"salet, wheel, revel, bezel",4
bible,"salet, yield, birle, bible",4
bicep,"salet, women, upper, cheep, bicep",5
biddy,"salet, young, privy, jiffy, dizzy, kiddy, middy, widdy, biddy",9
bigot,"salet, wight, digit, gigot, jigot, bigot",6
bilge,"salet, welch, bulge, bilge",4
billy,"salet, willy, hilly, filly, billy",5
binge,"salet, wreck, venue, hinge, binge",5
bingo,"salet, young, grown, bingo",4
biome,"salet, wreck, venue, oxide, bogie, biome",6
birch,"salet, young, which, birch",4
birth,"salet, youth, width, ninth, birth",5
bison,"salet, virus, missy, disco, bison",5
bitty,"salet, youth, witty, kitty, titty, bitty",6
black,"salet, zonal, plaid, llama, flaky, black",6
blade,"salet, whale, place, glare, flame, blade",6
blame,"salet, whale, place, glare, flame, blame",6
bland,"salet, zonal, plain, gland, bland",5
blank,"salet, zonal, plain, gland, flank, blank",6
blare,"salet, whale, place, glare, flare, blare",6
blast,"salet, blast",2
blaze,"salet, whale, place, glare, flame, blade, blaze",7
bleak,"salet, whale, renal, plead, fleam, ileac, bleak",7
bleat,"salet, leapt, cleat, bleat",4
bleed,"salet, wheel, cleek, bleed",4
bleep,"salet, wheel, bleed, bleep",4
blend,"salet, yield, blend",3
bless,"salet, loose, flesh, bless",4
blimp,"salet, would, vinyl, click, flimp, blimp",6
blind,"salet, would, blind",3
blink,"salet, would, vinyl, fling, blink",5
bliss,"salet, plush, gloss, bliss",4
blitz,"salet, until, glitz, blitz",4
bloat,"salet, plant, float, bloat",4
block,"salet, would, lingo, floor, clomb, block",6
bloke,"salet, yield, plume, globe, bloke",5
blond,"salet, would, blood, blond",4
blood,"salet, would, blood",3
bloom,"salet, would, lingo, floor, cloop, bloom",6
blown,"salet, would, blowy, blown",4
bluer,"salet, wheel, ulcer, gluer, bluer",5
bluff,"salet, would, plump, flung, bluff",5
blunt,"salet, quilt, clout, fluyt, blunt",5
blurb,"salet, would, plump, flung, blurb",5
blurt,"salet, quilt, clout, fluyt, blunt, blurt",6
blush,"salet, plush, flush, blush",4
board,"salet, woman, roach, goary, board",5
boast,"salet, toast, coast, roast, hoast, boast",6
bobby,"salet, young, worry, hobby, dobby, cobby, mobby, bobby",8
boney,"salet, women, honey, boney",4
bongo,"salet, young, cogon, gonif, bongo",5
bonus,"salet, virus, mucus, bogus, bonus",5
booby,"salet, young, worry, hobby, comby, booby",6
boost,"salet, visit, worst, coost, boost",5
booth,"salet, youth, worth, month, booth",5
booty,"salet, youth, rorty, potty, monty, boxty, booty",7
booze,"salet, wreck, venue, oxide, booze",5
boozy,"salet, young, worry, hobby, boppy, boozy",6
borax,"salet, woman, foray, borak, borax",5
borne,"salet, wreck, rouge, forme, borde, borne",6
bosom,"salet, virus, gypsy, boson, bosom",5
bossy,"salet, virus, gypsy, mossy, bossy",5
botch,"salet, youth, torch, notch, botch",5
bough,"salet, young, rough, cough, dough, bough",6
boule,"salet, yield, whole, noble, bogle, boule",6
bound,"salet, young, round, pound, wound, mound, found, bound",8
bowel,"salet, wheel, jewel, vowel, rowel, bowel",6
boxer,"salet, women, roger, poker, hover, foyer, boxer",7
brace,"salet, zebra, break, brave, brace",5
braid,"salet, woman, quark, chair, graip, braid",6
brain,"salet, woman, grain, brain",4
brake,"salet, zebra, break, brake",4
brand,"salet, woman, ninja, prank, brand",5
brash,"salet, quasi, grass, crash, brash",5
brass,"salet, quasi, grass, brass",4
brave,"salet, zebra, break, brave",4
bravo,"salet, woman, audio, bravo",4
brawl,"salet, zonal, quail, crawl, wrawl, brawl",6
brawn,"salet, woman, drawn, prawn, brawn",5
bread,"salet, zebra, break, bread",4
break,"salet, zebra, break",3
breed,"salet, women, upper, grief, creek, dreed, breed",7
briar,"salet, woman, vicar, briar",4
bribe,"salet, wreck, urine, prime, drive, brize, bribe",7
brick,"salet, young, which, prick, brick",5
bride,"salet, wreck, urine, prime, drive, gride, bride",7
brief,"salet, women, upper, grief, brief",5
brine,"salet, wreck, urine, brine",4
bring,"salet, young, ching, iring, bring",5
brink,"salet, young, drink, prink, brink",5
briny,"salet, young, whiny, briny",4
brisk,"salet, virus, prism, grisy, brisk",5
broad,"salet, woman, chiao, quoad, broad",5
broil,"salet, would, lingo, choil, broil",5
broke,"salet, wreck, droke, proke, broke",5
brood,"salet, young, widow, droob, brood",5
brook,"salet, young, widow, proof, brook",5
broom,"salet, young, widow, proof, brook, broom",6
broth,"salet, youth, broth",3
brown,"salet, young, known, brown",4
brunt,"salet, wight, front, prunt, brunt",5
brush,"salet, virus, brush",3
brute,"salet, white, quote, brute",4
buddy,"salet, young, puppy, mummy, juicy, fuzzy, burry, buddy",8
budge,"salet, wreck, venue, guide, judge, fudge, budge",7
buggy,"salet, young, rugby, buggy",4
bugle,"salet, yield, whole, uncle, bugle",5
build,"salet, would, build",3
built,"salet, quilt, built",3
bulge,"salet, welch, bulge",3
bulky,"salet, willy, bulgy, bulky",4
bully,"salet, willy, holly, fully, gully, bully",6
bunch,"salet, young, unzip, munch, dunch, runch, bunch",7
